<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;11/09/18-открытие;11/09/18-закрытие;11/09/18-мин;11/09/18-макс;11/10/18-открытие;11/10/18-закрытие;11/10/18-мин;11/10/18-макс;13/11/18-открытие;13/11/18-закрытие;13/11/18-мин;13/11/18-макс;11/12/18-открытие;11/12/18-закрытие;11/12/18-мин;11/12/18-макс
SPFB,RTS-12,18;1;11,09,2018;10:11;104010;104040;104000;104010;55;;;104010;104010;104000;104040;112150;111910;111900;112180;110880;110680;110670;110890;113370;113400;113350;113430
SPFB,RTS-12,18;1;11,09,2018;10:12;104010;104060;104010;104060;17;;;104010;104060;104010;104060;111910;111910;111770;111940;110690;110640;110540;110700;113400;113400;113360;113430
SPFB,RTS-12,18;1;11,09,2018;10:13;104090;104100;104080;104100;5;;;104090;104100;104080;104100;111920;111860;111790;111940;110620;110680;110590;110710;113400;113400;113370;113420
SPFB,RTS-12,18;1;11,09,2018;10:14;104100;104150;104080;104080;42;;;104100;104080;104080;104150;111850;111940;111830;111980;110670;110510;110490;110710;113380;113340;113330;113410
SPFB,RTS-12,18;1;11,09,2018;10:15;104110;104430;104110;104310;220;;;104110;104310;104110;104430;111920;111940;111870;111970;110510;110570;110370;110610;113330;113040;112980;113340
SPFB,RTS-12,18;1;11,09,2018;10:16;104310;104320;104250;104320;41;;;104310;104320;104250;104320;111950;111860;111830;111950;110570;110620;110540;110630;113040;113020;112870;113080
SPFB,RTS-12,18;1;11,09,2018;10:17;104320;104340;104300;104310;56;;;104320;104310;104300;104340;111850;111880;111840;111950;110610;110610;110590;110680;113000;113110;113000;113120
SPFB,RTS-12,18;1;11,09,2018;10:18;104270;104270;104200;104250;13;;;104270;104250;104200;104270;111890;111980;111880;111990;110600;110600;110580;110650;113110;113090;113090;113160
SPFB,RTS-12,18;1;11,09,2018;10:19;104240;104240;104180;104180;3;;;104240;104180;104180;104240;111990;112110;111960;112130;110600;110750;110600;110770;113090;113080;113050;113130
SPFB,RTS-12,18;1;11,09,2018;10:20;104160;104160;104030;104030;209;;;104160;104030;104030;104160;112110;112110;112060;112190;110760;110800;110720;110870;113080;113120;113070;113130
SPFB,RTS-12,18;1;11,09,2018;10:21;104030;104110;104030;104090;12;;;104030;104090;104030;104110;112120;112220;112090;112230;110790;110760;110720;110830;113110;113210;113110;113250
SPFB,RTS-12,18;1;11,09,2018;10:22;104100;104100;104100;104100;2;;;104100;104100;104100;104100;112230;112350;112180;112380;110760;110650;110630;110770;113210;113180;113150;113220
SPFB,RTS-12,18;1;11,09,2018;10:23;104100;104100;104100;104100;4;;;104100;104100;104100;104100;112360;112350;112340;112440;110650;110660;110610;110680;113170;113200;113170;113250
SPFB,RTS-12,18;1;11,09,2018;10:24;104120;104120;104090;104100;9;;;104120;104100;104090;104120;112340;112360;112340;112430;110650;110650;110650;110690;113180;113150;113150;113220
SPFB,RTS-12,18;1;11,09,2018;10:25;104050;104050;104010;104010;31;;;104050;104010;104010;104050;112350;112430;112350;112480;110660;110690;110630;110740;113150;113080;113060;113170
SPFB,RTS-12,18;1;11,09,2018;10:26;104000;104000;103810;103890;75;;;104000;103890;103810;104000;112440;112380;112350;112470;110680;110780;110670;110790;113080;113130;113080;113170
SPFB,RTS-12,18;1;11,09,2018;10:27;103950;103970;103950;103960;13;;;103950;103960;103950;103970;112380;112450;112380;112470;110780;110850;110770;110850;113120;113240;113120;113270
SPFB,RTS-12,18;1;11,09,2018;10:28;103970;104010;103970;104010;30;;;103970;104010;103970;104010;112460;112480;112430;112580;110840;110940;110830;110940;113240;113160;113160;113250
SPFB,RTS-12,18;1;11,09,2018;10:29;104030;104060;104030;104060;8;;;104030;104060;104030;104060;112470;112480;112450;112510;110930;110830;110820;110930;113170;113140;113110;113180
SPFB,RTS-12,18;1;11,09,2018;10:30;104050;104090;104050;104070;9;;;104050;104070;104050;104090;112480;112450;112420;112530;110820;110770;110730;110830;113150;113140;113110;113180
SPFB,RTS-12,18;1;11,09,2018;10:31;104120;104200;104100;104180;27;;;104120;104180;104100;104200;112450;112380;112360;112500;110750;110680;110600;110760;113130;113090;113090;113160
SPFB,RTS-12,18;1;11,09,2018;10:32;104130;104130;104120;104130;15;;;104130;104130;104120;104130;112390;112370;112350;112410;110680;110720;110670;110740;113080;113100;113050;113140
SPFB,RTS-12,18;1;11,09,2018;10:33;104110;104110;104090;104090;24;;;104110;104090;104090;104110;112360;112390;112350;112410;110720;110730;110700;110780;113100;113060;113010;113120
SPFB,RTS-12,18;1;11,09,2018;10:34;104090;104090;104090;104090;1;;;104090;104090;104090;104090;112370;112470;112370;112490;110730;110710;110690;110750;113080;113160;113070;113170
SPFB,RTS-12,18;1;11,09,2018;10:37;104050;104050;104040;104040;3;;;104050;104040;104040;104050;112470;112420;112410;112500;110710;110740;110680;110740;113160;113240;113150;113260
SPFB,RTS-12,18;1;11,09,2018;10:38;104010;104060;104010;104060;11;;;104010;104060;104010;104060;112420;112450;112380;112500;110740;110840;110740;110850;113240;113270;113210;113300
SPFB,RTS-12,18;1;11,09,2018;10:39;104020;104020;103980;103980;26;;;104020;103980;103980;104020;112470;112390;112370;112490;110830;110780;110750;110840;113280;113260;113230;113320
SPFB,RTS-12,18;1;11,09,2018;10:40;103980;103980;103960;103980;7;;;103980;103980;103960;103980;112400;112430;112360;112470;110760;110830;110760;110870;113260;113190;113160;113270
SPFB,RTS-12,18;1;11,09,2018;10:41;104100;104100;104100;104100;1;;;104100;104100;104100;104100;112420;112360;112350;112420;110830;110920;110830;110960;113190;113260;113180;113260
SPFB,RTS-12,18;1;11,09,2018;10:42;104080;104080;104080;104080;9;;;104080;104080;104080;104080;112360;112260;112240;112370;110920;110890;110870;110940;113250;113230;113200;113260
SPFB,RTS-12,18;1;11,09,2018;10:43;104080;104080;104080;104080;1;;;104080;104080;104080;104080;112260;112250;112240;112300;110890;110900;110880;110940;113220;113180;113140;113220
SPFB,RTS-12,18;1;11,09,2018;10:44;104080;104080;104070;104070;20;;;104080;104070;104070;104080;112240;112120;112120;112250;110890;110880;110860;110900;113180;113140;113140;113200
SPFB,RTS-12,18;1;11,09,2018;10:45;104040;104100;104040;104100;2;;;104040;104100;104040;104100;112140;112200;112120;112240;110880;110990;110880;110990;113140;113170;113140;113180
SPFB,RTS-12,18;1;11,09,2018;10:46;104110;104110;104050;104050;5;;;104110;104050;104050;104110;112190;112180;112130;112210;110990;111010;110970;111030;113180;113140;113140;113180
SPFB,RTS-12,18;1;11,09,2018;10:47;104050;104110;104050;104110;6;;;104050;104110;104050;104110;112180;112220;112150;112230;111010;110990;110960;111020;113150;113010;113010;113150
SPFB,RTS-12,18;1;11,09,2018;10:48;104160;104220;104160;104200;18;;;104160;104200;104160;104220;112220;112150;112150;112300;111000;111060;110980;111090;113000;113070;112990;113080
SPFB,RTS-12,18;1;11,09,2018;10:49;104200;104200;104200;104200;1;;;104200;104200;104200;104200;112170;112170;112170;112280;111080;111080;111050;111090;113060;113050;113040;113100
SPFB,RTS-12,18;1;11,09,2018;10:50;104210;104210;104200;104200;5;;;104210;104200;104200;104210;112160;112090;112010;112170;111080;111080;111000;111090;113050;113060;113050;113080
SPFB,RTS-12,18;1;11,09,2018;10:51;104210;104300;104210;104300;7;;;104210;104300;104210;104300;112090;112070;112060;112170;111090;111190;111090;111210;113070;112990;112970;113080
SPFB,RTS-12,18;1;11,09,2018;10:52;104270;104300;104270;104300;101;;;104270;104300;104270;104300;112060;111980;111950;112110;111180;111250;111170;111260;113000;112880;112810;113000
SPFB,RTS-12,18;1;11,09,2018;10:53;104250;104310;104250;104310;4;;;104250;104310;104250;104310;111980;111850;111810;111980;111250;111210;111210;111300;112890;112940;112890;112980
SPFB,RTS-12,18;1;11,09,2018;10:54;104290;104290;104290;104290;1;;;104290;104290;104290;104290;111840;111890;111800;111890;111220;111250;111200;111260;112930;113010;112910;113050
SPFB,RTS-12,18;1;11,09,2018;10:55;104290;104300;104290;104300;8;;;104290;104300;104290;104300;111890;111860;111840;111910;111250;111240;111210;111300;113030;113030;112990;113040
SPFB,RTS-12,18;1;11,09,2018;10:56;104270;104270;104270;104270;1;;;104270;104270;104270;104270;111850;111800;111800;111890;111250;111200;111190;111260;113020;112980;112970;113050
SPFB,RTS-12,18;1;11,09,2018;10:57;104220;104230;104200;104200;77;;;104220;104200;104200;104230;111810;111770;111770;111870;111210;111230;111210;111270;112970;112980;112950;113020
SPFB,RTS-12,18;1;11,09,2018;10:58;104190;104190;104140;104140;67;;;104190;104140;104140;104190;111770;111790;111730;111830;111240;111230;111220;111290;112990;112980;112960;113010
SPFB,RTS-12,18;1;11,09,2018;10:59;104150;104170;104150;104170;2;;;104150;104170;104150;104170;111800;111800;111710;111800;111240;111260;111240;111360;112980;112990;112930;113000
SPFB,RTS-12,18;1;11,09,2018;11:00;104250;104250;104210;104220;12;;;104250;104220;104210;104250;111790;111760;111750;111860;111260;111300;111260;111310;112980;112910;112910;112980
SPFB,RTS-12,18;1;11,09,2018;11:01;104320;104320;104310;104310;3;;;104320;104310;104310;104320;111770;111690;111670;111770;111290;111270;111260;111330;112910;112930;112790;112940
SPFB,RTS-12,18;1;11,09,2018;11:02;104350;104350;104350;104350;9;;;104350;104350;104350;104350;111700;111700;111620;111700;111280;111300;111260;111340;112920;112880;112870;112950
SPFB,RTS-12,18;1;11,09,2018;11:04;104310;104310;104260;104260;22;;;104310;104260;104260;104310;111710;111780;111660;111790;111320;111280;111240;111330;112880;112940;112710;112980
SPFB,RTS-12,18;1;11,09,2018;11:05;104260;104300;104260;104300;3;;;104260;104300;104260;104300;111770;111750;111700;111800;111280;111230;111220;111300;112930;112860;112810;112960
SPFB,RTS-12,18;1;11,09,2018;11:06;104290;104290;104240;104240;35;;;104290;104240;104240;104290;111730;111940;111720;111970;111230;111190;111170;111240;112850;112720;112670;112850
SPFB,RTS-12,18;1;11,09,2018;11:07;104250;104280;104250;104280;2;;;104250;104280;104250;104280;111940;111860;111850;111950;111200;111250;111190;111260;112720;112670;112660;112740
SPFB,RTS-12,18;1;11,09,2018;11:08;104280;104280;104280;104280;1;;;104280;104280;104280;104280;111850;111880;111830;111910;111250;111150;111140;111300;112690;112700;112660;112760
SPFB,RTS-12,18;1;11,09,2018;11:09;104310;104320;104300;104300;3;;;104310;104300;104300;104320;111860;111750;111710;111880;111140;111050;111050;111190;112690;112700;112610;112720
SPFB,RTS-12,18;1;11,09,2018;11:10;104270;104270;104250;104250;38;;;104270;104250;104250;104270;111760;111770;111740;111810;111050;111000;110950;111090;112700;112580;112560;112730
SPFB,RTS-12,18;1;11,09,2018;11:11;104250;104250;104230;104230;43;;;104250;104230;104230;104250;111790;111850;111790;111920;110990;110930;110840;111000;112570;112490;112440;112620
SPFB,RTS-12,18;1;11,09,2018;11:12;104220;104220;104210;104210;50;;;104220;104210;104210;104220;111840;111810;111740;111850;110920;110990;110910;111030;112500;112410;112340;112510
SPFB,RTS-12,18;1;11,09,2018;11:13;104250;104250;104250;104250;1;;;104250;104250;104250;104250;111800;111880;111780;111890;110990;111060;110980;111080;112410;112450;112380;112480
SPFB,RTS-12,18;1;11,09,2018;11:14;104260;104310;104260;104310;3;;;104260;104310;104260;104310;111860;111800;111770;111900;111070;111040;111020;111090;112440;112440;112410;112490
SPFB,RTS-12,18;1;11,09,2018;11:15;104310;104590;104310;104540;162;;;104310;104540;104310;104590;111820;111860;111790;111890;111030;110960;110950;111070;112430;112470;112370;112480
SPFB,RTS-12,18;1;11,09,2018;11:16;104560;104700;104560;104590;34;;;104560;104590;104560;104700;111860;111910;111830;111910;110960;110980;110950;111010;112460;112480;112450;112500
SPFB,RTS-12,18;1;11,09,2018;11:17;104590;104600;104520;104520;20;;;104590;104520;104520;104600;111910;111870;111860;111950;110980;110960;110960;111000;112480;112500;112460;112510
SPFB,RTS-12,18;1;11,09,2018;11:18;104570;104580;104570;104580;5;;;104570;104580;104570;104580;111860;111900;111810;111950;110960;110920;110880;111000;112500;112500;112460;112510
SPFB,RTS-12,18;1;11,09,2018;11:19;104550;104550;104550;104550;5;;;104550;104550;104550;104550;111910;111930;111850;111940;110920;111000;110920;111010;112510;112470;112450;112530
SPFB,RTS-12,18;1;11,09,2018;11:20;104510;104510;104490;104490;7;;;104510;104490;104490;104510;111930;111900;111870;111940;111000;110990;110980;111060;112480;112530;112470;112550
SPFB,RTS-12,18;1;11,09,2018;11:21;104530;104560;104530;104560;4;;;104530;104560;104530;104560;111890;111830;111790;111890;111000;111020;111000;111050;112520;112580;112480;112590
SPFB,RTS-12,18;1;11,09,2018;11:22;104590;104640;104590;104590;13;;;104590;104590;104590;104640;111840;111760;111710;111840;111020;111030;111000;111050;112570;112580;112540;112620
SPFB,RTS-12,18;1;11,09,2018;11:23;104600;104630;104600;104630;4;;;104600;104630;104600;104630;111780;111820;111740;111850;111030;110980;110980;111060;112580;112580;112560;112630
SPFB,RTS-12,18;1;11,09,2018;11:24;104610;104640;104540;104540;14;;;104610;104540;104540;104640;111810;111860;111770;111880;111000;111060;111000;111060;112580;112580;112540;112590
SPFB,RTS-12,18;1;11,09,2018;11:25;104570;104570;104550;104550;9;;;104570;104550;104550;104570;111860;111940;111860;111940;111050;111010;110990;111060;112580;112580;112570;112620
SPFB,RTS-12,18;1;11,09,2018;11:26;104570;104570;104570;104570;7;;;104570;104570;104570;104570;111940;112060;111920;112070;111020;110930;110930;111030;112580;112610;112540;112620
SPFB,RTS-12,18;1;11,09,2018;11:27;104540;104550;104540;104550;4;;;104540;104550;104540;104550;112070;112050;112030;112100;110930;110850;110820;110930;112610;112630;112580;112630
SPFB,RTS-12,18;1;11,09,2018;11:28;104560;104570;104540;104570;39;;;104560;104570;104540;104570;112050;111920;111910;112050;110850;110760;110750;110860;112610;112620;112590;112640
SPFB,RTS-12,18;1;11,09,2018;11:29;104570;104570;104540;104550;10;;;104570;104550;104540;104570;111920;111790;111770;111930;110770;110810;110770;110840;112620;112680;112620;112730
SPFB,RTS-12,18;1;11,09,2018;11:30;104520;104520;104520;104520;1;;;104520;104520;104520;104520;111770;111740;111730;111810;110820;110810;110760;110830;112670;112640;112620;112670
SPFB,RTS-12,18;1;11,09,2018;11:31;104550;104580;104540;104580;41;;;104550;104580;104540;104580;111740;111790;111660;111810;110810;110870;110800;110900;112640;112640;112630;112680
SPFB,RTS-12,18;1;11,09,2018;11:32;104570;104570;104570;104570;2;;;104570;104570;104570;104570;111780;111850;111750;111870;110890;110850;110850;110900;112620;112650;112620;112720
SPFB,RTS-12,18;1;11,09,2018;11:33;104580;104580;104550;104550;6;;;104580;104550;104550;104580;111850;111770;111720;111860;110850;110850;110840;110930;112640;112530;112530;112640
SPFB,RTS-12,18;1;11,09,2018;11:34;104560;104560;104490;104550;81;;;104560;104550;104490;104560;111760;111820;111710;111820;110850;110810;110810;110890;112520;112550;112470;112570
SPFB,RTS-12,18;1;11,09,2018;11:35;104550;104550;104550;104550;1;;;104550;104550;104550;104550;111810;111800;111660;111820;110800;110700;110670;110820;112560;112600;112560;112610
SPFB,RTS-12,18;1;11,09,2018;11:36;104520;104520;104520;104520;1;;;104520;104520;104520;104520;111800;111800;111760;111810;110720;110690;110620;110720;112590;112760;112580;112780
SPFB,RTS-12,18;1;11,09,2018;11:37;104510;104510;104500;104500;2;;;104510;104500;104500;104510;111800;111710;111670;111800;110690;110600;110540;110700;112760;112760;112680;112780
SPFB,RTS-12,18;1;11,09,2018;11:39;104530;104530;104490;104490;7;;;104530;104490;104490;104530;111700;111620;111600;111740;110600;110650;110590;110670;112760;112740;112700;112770
SPFB,RTS-12,18;1;11,09,2018;11:40;104480;104490;104430;104440;55;;;104480;104440;104430;104490;111620;111650;111560;111680;110650;110660;110650;110710;112720;112760;112720;112800
SPFB,RTS-12,18;1;11,09,2018;11:41;104450;104450;104420;104450;57;;;104450;104450;104420;104450;111650;111600;111560;111670;110660;110640;110610;110710;112750;112750;112690;112750
SPFB,RTS-12,18;1;11,09,2018;11:42;104450;104450;104450;104450;48;;;104450;104450;104450;104450;111580;111600;111560;111650;110650;110630;110620;110670;112760;112700;112680;112770
SPFB,RTS-12,18;1;11,09,2018;11:43;104470;104470;104470;104470;3;;;104470;104470;104470;104470;111590;111630;111580;111650;110640;110840;110640;110840;112690;112670;112670;112750
SPFB,RTS-12,18;1;11,09,2018;11:44;104420;104450;104420;104450;8;;;104420;104450;104420;104450;111630;111670;111620;111690;110830;110750;110750;110860;112670;112720;112650;112730
SPFB,RTS-12,18;1;11,09,2018;11:45;104400;104440;104400;104440;6;;;104400;104440;104400;104440;111670;111610;111600;111700;110740;110780;110740;110800;112700;112640;112640;112720
SPFB,RTS-12,18;1;11,09,2018;11:46;104450;104450;104410;104410;43;;;104450;104410;104410;104450;111610;111560;111510;111620;110790;110780;110760;110830;112650;112670;112630;112700
SPFB,RTS-12,18;1;11,09,2018;11:47;104390;104410;104390;104410;3;;;104390;104410;104390;104410;111550;111640;111500;111640;110780;110730;110730;110810;112680;112700;112660;112710
SPFB,RTS-12,18;1;11,09,2018;11:48;104350;104350;104340;104340;3;;;104350;104340;104340;104350;111640;111620;111580;111650;110740;110800;110730;110830;112700;112700;112640;112730
SPFB,RTS-12,18;1;11,09,2018;11:49;104340;104340;104300;104300;3;;;104340;104300;104300;104340;111620;111580;111550;111640;110790;110790;110750;110790;112690;112740;112660;112750
SPFB,RTS-12,18;1;11,09,2018;11:50;104310;104310;104230;104230;67;;;104310;104230;104230;104310;111580;111610;111540;111630;110790;110800;110760;110840;112740;112660;112650;112740
SPFB,RTS-12,18;1;11,09,2018;11:51;104230;104270;104230;104270;140;;;104230;104270;104230;104270;111620;111680;111600;111690;110790;110740;110720;110840;112660;112630;112590;112670
SPFB,RTS-12,18;1;11,09,2018;11:52;104270;104290;104270;104290;65;;;104270;104290;104270;104290;111670;111640;111630;111700;110730;110650;110650;110740;112620;112640;112610;112660
SPFB,RTS-12,18;1;11,09,2018;11:53;104280;104330;104270;104330;9;;;104280;104330;104270;104330;111630;111450;111450;111630;110670;110710;110630;110720;112640;112620;112610;112650
SPFB,RTS-12,18;1;11,09,2018;11:54;104340;104340;104340;104340;8;;;104340;104340;104340;104340;111470;111450;111450;111520;110700;110630;110590;110700;112610;112600;112550;112620
SPFB,RTS-12,18;1;11,09,2018;11:55;104330;104350;104320;104320;206;;;104330;104320;104320;104350;111440;111500;111440;111510;110630;110560;110540;110630;112600;112600;112570;112600
SPFB,RTS-12,18;1;11,09,2018;11:56;104340;104340;104340;104340;4;;;104340;104340;104340;104340;111500;111450;111440;111550;110560;110550;110520;110570;112600;112530;112530;112600
SPFB,RTS-12,18;1;11,09,2018;11:59;104330;104330;104330;104330;2;;;104330;104330;104330;104330;111450;111400;111370;111450;110540;110550;110500;110580;112530;112550;112510;112550
SPFB,RTS-12,18;1;11,09,2018;12:00;104340;104340;104340;104340;10;;;104340;104340;104340;104340;111400;111240;111210;111420;110550;110520;110500;110570;112530;112570;112530;112590
SPFB,RTS-12,18;1;11,09,2018;12:01;104340;104360;104340;104360;53;;;104340;104360;104340;104360;111250;111260;111200;111330;110520;110450;110450;110520;112570;112540;112530;112590
SPFB,RTS-12,18;1;11,09,2018;12:02;104300;104300;104300;104300;1;;;104300;104300;104300;104300;111250;111330;111220;111330;110450;110480;110440;110580;112560;112530;112510;112560
SPFB,RTS-12,18;1;11,09,2018;12:03;104280;104280;104280;104280;2;;;104280;104280;104280;104280;111330;111270;111220;111340;110490;110440;110400;110490;112540;112600;112530;112610
SPFB,RTS-12,18;1;11,09,2018;12:04;104260;104260;104250;104250;41;;;104260;104250;104250;104260;111270;111310;111220;111350;110440;110420;110370;110470;112600;112610;112550;112610
SPFB,RTS-12,18;1;11,09,2018;12:05;104250;104260;104230;104240;56;;;104250;104240;104230;104260;111300;111280;111250;111320;110420;110540;110420;110540;112600;112620;112580;112630
SPFB,RTS-12,18;1;11,09,2018;12:06;104240;104240;104210;104210;58;;;104240;104210;104210;104240;111290;111250;111240;111340;110540;110500;110460;110550;112610;112550;112530;112630
SPFB,RTS-12,18;1;11,09,2018;12:07;104210;104240;103970;104000;197;;;104210;104000;103970;104240;111250;111170;111130;111250;110490;110500;110490;110590;112560;112540;112540;112610
SPFB,RTS-12,18;1;11,09,2018;12:08;104000;104000;103900;103990;12;;;104000;103990;103900;104000;111180;111270;111170;111340;110490;110490;110470;110510;112540;112650;112540;112660
SPFB,RTS-12,18;1;11,09,2018;12:09;103970;104000;103970;104000;28;;;103970;104000;103970;104000;111280;111300;111240;111300;110500;110430;110410;110530;112660;112630;112630;112720
SPFB,RTS-12,18;1;11,09,2018;12:11;103940;103940;103930;103930;5;;;103940;103930;103930;103940;111300;111300;111270;111320;110450;110480;110430;110490;112630;112690;112630;112700
SPFB,RTS-12,18;1;11,09,2018;12:12;103900;103900;103790;103790;40;;;103900;103790;103790;103900;111300;111390;111290;111410;110470;110490;110440;110510;112690;112710;112670;112720
SPFB,RTS-12,18;1;11,09,2018;12:13;103770;103820;103760;103810;13;;;103770;103810;103760;103820;111390;111300;111280;111400;110480;110380;110350;110510;112700;112650;112650;112710
SPFB,RTS-12,18;1;11,09,2018;12:14;103820;103850;103820;103820;5;;;103820;103820;103820;103850;111310;111290;111290;111370;110390;110400;110340;110420;112650;112660;112650;112720
SPFB,RTS-12,18;1;11,09,2018;12:16;103850;103870;103850;103870;2;;;103850;103870;103850;103870;111290;111250;111220;111300;110390;110400;110370;110430;112660;112630;112590;112660
SPFB,RTS-12,18;1;11,09,2018;12:17;103860;103910;103850;103910;5;;;103860;103910;103850;103910;111250;111160;111150;111260;110410;110450;110390;110450;112630;112730;112610;112740
SPFB,RTS-12,18;1;11,09,2018;12:18;103910;103950;103910;103950;25;;;103910;103950;103910;103950;111150;111070;111060;111170;110460;110470;110440;110500;112730;112730;112710;112750
SPFB,RTS-12,18;1;11,09,2018;12:19;103900;103900;103900;103900;8;;;103900;103900;103900;103900;111060;111140;111000;111140;110470;110430;110410;110510;112720;112780;112660;112790
SPFB,RTS-12,18;1;11,09,2018;12:20;103930;103930;103930;103930;1;;;103930;103930;103930;103930;111140;111420;111120;111480;110420;110390;110350;110450;112780;112770;112750;112800
SPFB,RTS-12,18;1;11,09,2018;12:21;103960;103960;103930;103930;3;;;103960;103930;103930;103960;111430;111320;111310;111440;110390;110440;110360;110470;112770;112760;112740;112790
SPFB,RTS-12,18;1;11,09,2018;12:22;103960;103960;103960;103960;1;;;103960;103960;103960;103960;111330;111420;111290;111420;110430;110430;110380;110440;112750;112720;112720;112770
SPFB,RTS-12,18;1;11,09,2018;12:23;103990;104000;103990;104000;18;;;103990;104000;103990;104000;111410;111460;111410;111480;110430;110530;110390;110550;112720;112750;112700;112750
SPFB,RTS-12,18;1;11,09,2018;12:24;103940;103940;103900;103900;2;;;103940;103900;103900;103940;111440;111340;111300;111460;110540;110640;110510;110680;112740;112760;112740;112840
SPFB,RTS-12,18;1;11,09,2018;12:25;103880;103880;103880;103880;1;;;103880;103880;103880;103880;111330;111320;111260;111350;110640;110570;110520;110640;112770;112740;112740;112790
SPFB,RTS-12,18;1;11,09,2018;12:26;103870;103880;103870;103870;7;;;103870;103870;103870;103880;111320;111410;111320;111460;110570;110610;110550;110620;112740;112810;112740;112830
SPFB,RTS-12,18;1;11,09,2018;12:27;103830;103830;103830;103830;1;;;103830;103830;103830;103830;111420;111360;111360;111450;110620;110570;110570;110650;112790;112850;112760;112890
SPFB,RTS-12,18;1;11,09,2018;12:29;103910;103920;103860;103860;3;;;103910;103860;103860;103920;111360;111340;111300;111380;110570;110630;110550;110650;112860;112840;112830;112880
SPFB,RTS-12,18;1;11,09,2018;12:30;103820;103860;103820;103860;3;;;103820;103860;103820;103860;111350;111390;111330;111390;110640;110650;110590;110660;112850;112840;112810;112860
SPFB,RTS-12,18;1;11,09,2018;12:34;103870;103870;103870;103870;1;;;103870;103870;103870;103870;111380;111420;111350;111430;110630;110730;110620;110750;112830;112810;112800;112840
SPFB,RTS-12,18;1;11,09,2018;12:35;103840;103840;103790;103790;10;;;103840;103790;103790;103840;111420;111300;111300;111440;110730;110810;110710;110830;112800;112810;112780;112830
SPFB,RTS-12,18;1;11,09,2018;12:36;103760;103770;103760;103770;24;;;103760;103770;103760;103770;111310;111340;111310;111350;110800;110810;110760;110830;112810;112810;112770;112810
SPFB,RTS-12,18;1;11,09,2018;12:37;103750;103750;103700;103720;55;;;103750;103720;103700;103750;111330;111370;111300;111420;110820;110830;110810;110860;112810;112830;112770;112830
SPFB,RTS-12,18;1;11,09,2018;12:38;103710;103710;103690;103700;24;;;103710;103700;103690;103710;111370;111340;111330;111390;110830;110970;110820;110980;112830;112760;112760;112830
SPFB,RTS-12,18;1;11,09,2018;12:39;103660;103660;103510;103510;129;;;103660;103510;103510;103660;111330;111280;111270;111360;110960;111000;110920;111050;112760;112760;112720;112760
SPFB,RTS-12,18;1;11,09,2018;12:40;103560;103620;103540;103620;6;;;103560;103620;103540;103620;111290;111290;111270;111300;111010;110960;110940;111010;112760;112780;112760;112810
SPFB,RTS-12,18;1;11,09,2018;12:41;103560;103600;103550;103600;11;;;103560;103600;103550;103600;111280;111260;111180;111300;110950;110910;110900;110970;112790;112750;112740;112800
SPFB,RTS-12,18;1;11,09,2018;12:42;103630;103630;103630;103630;1;;;103630;103630;103630;103630;111270;111350;111250;111360;110910;110920;110900;110970;112750;112770;112740;112790
